,precision,recall,f1-score,support
Hate Speech,0.29366602687140114,0.7149532710280374,0.4163265306122449,214.0
Offensive,0.9762479871175523,0.8423063563737408,0.9043445832556405,2879.0
Neither,0.8316970546984572,0.9488,0.8863976083707026,625.0
accuracy,0.8528778913394298,0.8528778913394298,0.8528778913394298,0.8528778913394298
macro avg,0.7005370228958036,0.8353532091339261,0.7356895740795292,3718.0
weighted avg,0.9126608778505779,0.8528778913394298,0.8732384179601126,3718.0
