,precision,recall,f1-score,support
Hate Speech,0.40186915887850466,0.602803738317757,0.4822429906542056,214.0
Offensive,0.9665800222799852,0.9041333796457103,0.9343144292893036,2879.0
Neither,0.84375,0.9504,0.8939051918735892,625.0
accuracy,0.8945669714900484,0.8945669714900484,0.8945669714900484,0.8945669714900484
macro avg,0.73739972705283,0.8191123726544891,0.7701542039390329,3718.0
weighted avg,0.9134286267197627,0.8945669714900484,0.901501341270817,3718.0
