,precision,recall,f1-score,support
Hate Speech,0.36419753086419754,0.5514018691588785,0.43866171003717475,214.0
Offensive,0.9646118721461188,0.8805140673845085,0.9206464499727619,2879.0
Neither,0.7637075718015666,0.936,0.8411214953271028,625.0
accuracy,0.8708983324367939,0.8708983324367939,0.8708983324367939,0.8708983324367939
macro avg,0.6975056582706277,0.789305312181129,0.7334765517790132,3718.0
weighted avg,0.896281087651854,0.8708983324367939,0.8795362210863303,3718.0
